00002657441110031 034522   1153557202204122 274028.60 20  13701.43F  13701.43 1810       00000000000
00002658421110031 038906   1153612202204122  74363.04 36   2065.64F   2065.64 1810       00000000000
00002658431110031 038906   1153612202204122 200446.56 36   5567.96F   5567.96 1810       00000000000
00002661101110031 035712   1153729202204182 202629.96 36   5628.61F   5628.61 1810       00000000000
00002661471110031 044448   1154068202204262 112415.76 24   4683.99F   4683.99 1710       00000000000
00002662371110031 046098   1154020202204252 781744.68 36  21715.13F  21715.13 1710       00000000000
00002667841110031 032191   1154708202205122 689004.48 48  14354.26F  14354.26 1710       00000000000
00002667851110031 032191   1154708202205122 344807.04 48   7183.48F   7183.48 1710       00000000000
00002667941110031 043007   1154754202205132 171009.00 36   4750.25F   4750.25 1610       00000000000
00002669811110031 037591   1154919202205172 517956.48 48  10790.76F  10790.76 1610       00000000000
00002669821110031 037591   1154919202205172 254134.56 48   5294.47F   5294.47 1610       00000000000
00002670231110031 038272   1155045202205202 101938.32 18   5663.24F   5663.24 1610       00000000000
00002670241110031 038272   1155045202205202 116994.06 18   6499.67F   6499.67 1610       00000000000
00002670771110031 039789   1154994202205192 163382.40 18   9076.80F   9076.80 1610       00000000000
00002671121110031 048723   1155274202205242 394959.60 24  16456.65F  16456.65 1610       00000000000
00002671281110031 034869   1155144202205232 336393.12 48   7008.19F   7008.19 1610       00000000000
00002671291110031 034869   1155144202205232 624041.76 48  13000.87F  13000.87 1610       00000000000
00002674671110031 045204   1155761202206032 892537.50 30  29751.25F  29751.25 1610       00000000000
00002674751110031 045596   1155729202206022 147755.16 36   4104.31F   4104.31 1610       00000000000
00002675701110031 043358   1156222202206132 442637.76 48   9221.62F   9221.62 1610       00000000000
00002678961110031 032673   1156644202206212 199614.90 30   6653.83F   6653.83 1510       00000000000
00002678971110031 032673   1156644202206212 305961.00 30  10198.70F  10198.70 1510       00000000000
00002679031110031 044086   1157014202206282  43411.68 48    904.41F    904.41 1510       00000000000
00002679421110031 033882   1156575202206162 130998.96 24   5458.29F   5458.29 1610       00000000000
00002680471110031 032085   1156941202206272 482282.00 40  12057.05F  12057.05 1510       00000000000
00002680951110031 032489   1156812202206232 459166.32 36  12754.62F  12754.62 1510       00000000000
00002680961110031 032489   1156812202206232  54135.72 36   1503.77F   1503.77 1510       00000000000
00002681031110031 047057   1156896202206242 307391.40 36   8538.65F   8538.65 1510       00000000000
00002681041110031 047057   1156896202206242 672232.68 36  18673.13F  18673.13 1510       00000000000
00002681701110031 035691   1157107202206292 650551.68 48  13553.16F  13553.16 1510       00000000000
00002682161110031 032049   1157073202206292 343029.96 36   9528.61F   9528.61 1510       00000000000
00002686001110031 034888   1158750202207262 286301.04 24  11929.21F  11929.21 1410       00000000000
00002688011110031 043358   1159377202208042 441478.08 48   9197.46F   9197.46 1410       00000000000
00002688821110031 041881   1159698202208102 473616.00 48   9867.00F   9867.00 1410       00000000000
00002688911110031 043007   1159571202208092 441926.16 24  18413.59F  18413.59 1410       00000000000
00002690371110031 031772   1160029202208122 273549.96 18  15197.22F  15197.22 1410       00000000000
00002691121110031 041377   1159960202208122 308158.32 24  12839.93F  12839.93 1410       00000000000
00002691851110031 036083   1160025202208122 343886.76 14  24563.34F  24563.34 1410       00000000000
00002692211110031 044086   1160562202208182 376451.52 48   7842.74F   7842.74 1410       00000000000
00002692391110031 040144   1160525202208182 370373.08 38   9746.66F   9746.66 1410       00000000000
00002693411110031 046574   11607122022081921313508.96 36  36486.36F  36486.36 1310       00000000000
00002698581110031 033536   1162069202209012 266938.20 30   8897.94F   8897.94 1310       00000000000
00002700461110031 031143   1162282202209062 719975.52 18  39998.64F  39998.64 1310       00000000000
00002701981110031 036299   1163673202209192 189977.55 15  12665.17F  12665.17 1210       00000000000
00002702461110031 037934   1163751202209192 326846.10 30  10894.87F  10894.87 1210       00000000000
00002703171110031 039846   1163361202209152 450005.70 30  15000.19F  15000.19 1310       00000000000
00002703851110031 034476   1163433202209152 854614.80 36  23739.30F  23739.30 1310       00000000000
00002703981110031 036027   1163731202209192 376957.98 18  20942.11F  20942.11 1210       00000000000
00002704261110031 035691   1164340202209232 436337.28 36  12120.48F  12120.48 1210       00000000000
00002705361110031 035447   1164168202209222 897506.64 36  24930.74F  24930.74 1210       00000000000
00002705421110031 042395   1164192202209222 177661.44 18   9870.08F   9870.08 1210       00000000000
00002705501110031 044782   1164369202209232 217997.64 18  12110.98F  12110.98 1210       00000000000
00002705561110031 037459   1164201202209222 155871.84 12  12989.32F  12989.32 1210       00000000000
00002705581110031 035246   1164387202209262  90518.04 18   5028.78F   5028.78 1210       00000000000
00002706271110031 032049   1164784202209282 545425.20 24  22726.05F  22726.05 1210       00000000000
00002706971110031 033882   1164772202209282 420998.40 24  17541.60F  17541.60 1210       00000000000
00002707681110031 037624   1165082202209302 387891.00 30  12929.70F  12929.70 1210       00000000000
00002709401110031 045613   1165612202210062 378403.44 24  15766.81F  15766.81 1210       00000000000
00002709681110031 047772   1165616202210062 351322.20 30  11710.74F  11710.74 1210       00000000000
00002709721110031 041519   1165722202210112 472127.76 26  18158.76F  18158.76 1210       00000000000
00002711291110031 038931   1166337202210172 425951.52 24  17747.98F  17747.98 1210       00000000000
00002711841110031 037102   1166335202210172 223610.28 12  18634.19F  18634.19 1210       00000000000
00002712291110031 037165   1167065202210212 308031.00 30  10267.70F  10267.70 1110       00000000000
00002712311110031 047563   1167194202210242 227119.68 27   8411.84F   8411.84 1110       00000000000
00002712331110031 034526   1167061202210212 237008.52 36   6583.57F   6583.57 1110       00000000000
00002712601110031 032703   1166987202210212 575034.48 24  23959.77F  23959.77 1110       00000000000
00002713171110031 038754   1166921202210212  93610.32 24   3900.43F   3900.43 1110       00000000000
00002713461110031 043133   1166918202210212 649575.84 24  27065.66F  27065.66 1110       00000000000
00002713511110031 033621   1167536202210272 651804.72 24  27158.53F  27158.53 1110       00000000000
00002713751110031 042924   1167410202210262 369488.16 24  15395.34F  15395.34 1110       00000000000
00002714561110031 042783   1167476202210272 558107.28 36  15502.98F  15502.98 1110       00000000000
00002715541110031 032186   1167816202210312 375183.84 24  15632.66F  15632.66 1110       00000000000
00002715661110031 035848   1167884202210312 521542.80 24  21730.95F  21730.95 1110       00000000000
00002715991110031 046725   1168241202211042 318473.04 24  13269.71F  13269.71 1110       00000000000
00002716501110031 044958   1168394202211082 458682.60 30  15289.42F  15289.42 1110       00000000000
00002716531110031 042286   1168334202211072 391033.20 24  16293.05F  16293.05 1110       00000000000
00002717041110031 039627   1168868202211112 339027.60 24  14126.15F  14126.15 1010       00000000000
00002717551110031 040595   1169027202211152 741990.24 36  20610.84F  20610.84 1010       00000000000
00002718371110031 042117   1169087202211152 521542.80 24  21730.95F  21730.95 1010       00000000000
00002718991110031 041232   1169404202211172 451369.20 30  15045.64F  15045.64 1010       00000000000
00002721681110031 044033   1169766202211242  95850.36 36   2662.51F   2662.51 1010       00000000000
